Frame number,6894
First frame,1
Point frequency,200
Analog frequency,1000

Time,Force.Fx1,Force.Fy1,Force.Fz1,Force.Fx2,Force.Fy2,Force.Fz2,accel.x,accel.y,accel.z,accel.x,accel.y,accel.z
s,N,N,N,N,N,N,mm/s�,mm/s�,mm/s�,mm/s�,mm/s�,mm/s�
0.126,0.000321064,0.00348205,0.00355091,-8.19662e-09,1.14417e-08,-5.78956e-08,-41.9192,12.5181,-33.6408,-12.7214,39.8128,11.9241
0.127,0.000330224,0.00460724,0.00455641,-9.72557e-09,1.28075e-08,-7.19329e-08,-40.8648,11.6972,-33.4325,-12.0493,39.7756,11.9435
0.128,0.000277678,0.00560889,0.0053604,-1.03681e-08,1.2527e-08,-8.14311e-08,-39.7755,10.8142,-33.1871,-11.402,39.7039,11.9507
0.129,0.000128706,0.00618795,0.00564721,-9.33563e-09,9.44162e-09,-8.10652e-08,-38.6661,9.89789,-32.9204,-10.7939,39.5988,11.9527
0.13,-0.000157088,0.00591192,0.00497501,-5.604e-09,2.11735e-09,-6.36187e-08,-37.5463,8.98091,-32.6473,-10.2387,39.4603,11.9536
0.131,-0.000621588,0.0042059,0.00277422,2.0484e-09,-1.10607e-08,-2.0082e-08,-36.4215,8.09678,-32.3814,-9.74788,39.2876,11.9541
0.132,-0.00130059,0.000366494,-0.00162884,1.49333e-08,-3.16873e-08,5.98046e-08,-35.2942,7.27649,-32.1344,-9.33034,39.0806,11.9536
0.133,-0.00221186,-0.00638729,-0.00894922,3.42471e-08,-6.09918e-08,1.86348e-07,-34.1661,6.54552,-31.9148,-8.99055,38.84,11.9522
0.134,-0.00333814,-0.0168095,-0.0198256,6.07374e-08,-9.9313e-08,3.67801e-07,-33.04,5.92132,-31.7271,-8.72788,38.5679,11.9524
0.135,-0.00460486,-0.0314509,-0.0346316,9.42166e-08,-1.4537e-07,6.07128e-07,-31.9213,5.41172,-31.5714,-8.53659,38.2675,11.9569
0.136,-0.00585313,-0.0503945,-0.0532019,1.32909e-07,-1.95331e-07,8.97486e-07,-30.8187,5.01449,-31.4437,-8.40729,37.9432,11.9674
0.137,-0.00681049,-0.0728927,-0.0744685,1.72645e-07,-2.41723e-07,1.21639e-06,-29.7443,4.71827,-31.3374,-8.32947,37.6001,11.9821
